,episode_name,dialogue,person_scene,season,episode,persons_bert,num_sentences
2,Series 01 Episode 01 – Pilot Episode," Agreed, what’s your point?",Leonard,01,01,[],1
4,Series 01 Episode 01 – Pilot Episode,Excuse me?,Leonard,01,01,[],1
6,Series 01 Episode 01 – Pilot Episode," One across is Aegean, eight down is Nabakov, twenty-six across is MCM, fourteen down is… move your finger… phylum, which makes fourteen across Port-au-Prince. See, Papa Doc’s capital idea, that’s Port-au-Prince. Haiti. ",Leonard,01,01,"['Na', '##ba', 'Papa']",3
8,Series 01 Episode 01 – Pilot Episode," Yes. Um, is this the High IQ sperm bank?",Leonard,01,01,[],2
12,Series 01 Episode 01 – Pilot Episode,Thank-you. We’ll be right back.,Leonard,01,01,[],2
15,Series 01 Episode 01 – Pilot Episode," What, are you kidding? You’re a semi-pro. ",Leonard,01,01,[],2
17,Series 01 Episode 01 – Pilot Episode," Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment.",Leonard,01,01,['Sheldon'],2
19,Series 01 Episode 01 – Pilot Episode,I’m sure she’ll still love him.,Leonard,01,01,[],1
21,Series 01 Episode 01 – Pilot Episode," Well, what do you want to do?",Leonard,01,01,[],1
23,Series 01 Episode 01 – Pilot Episode,Okay.,Leonard,01,01,[],1
25,Series 01 Episode 01 – Pilot Episode," I don’t know, I’ve never reneged on a proffer of sperm before.",Leonard,01,01,[],1
27,Series 01 Episode 01 – Pilot Episode,Okay.,Leonard,01,01,[],1
29,Series 01 Episode 01 – Pilot Episode,See you.,Leonard,01,01,[],1
32,Series 01 Episode 01 – Pilot Episode,No.,Leonard,01,01,[],1
34,Series 01 Episode 01 – Pilot Episode,Not really.,Leonard,01,01,[],1
36,Series 01 Episode 01 – Pilot Episode,I don’t care. Two millimetres? That doesn’t seem right.,Leonard,01,01,[],3
38,Series 01 Episode 01 – Pilot Episode,Is that why they sent you to boarding school?,Leonard,01,01,[],1
40,Series 01 Episode 01 – Pilot Episode,New neighbour?,Leonard,01,01,[],1
42,Series 01 Episode 01 – Pilot Episode,Significant improvement over the old neighbour.,Leonard,01,01,[],1
45,Series 01 Episode 01 – Pilot Episode,Hi.,Leonard,01,01,[],1
47,Series 01 Episode 01 – Pilot Episode,Hi.,Leonard,01,01,[],1
50,Series 01 Episode 01 – Pilot Episode," We don’t mean to interrupt, we live across the hall.",Leonard,01,01,[],1
52,Series 01 Episode 01 – Pilot Episode," Oh… uh… no… we don’t live together… um… we live together but in separate, heterosexual bedrooms.",Leonard,01,01,[],1
54,Series 01 Episode 01 – Pilot Episode," Leonard, Sheldon.",Leonard,01,01,"['Leonard', 'Sheldon']",1
56,Series 01 Episode 01 – Pilot Episode,Hi.,Leonard,01,01,[],1
59,Series 01 Episode 01 – Pilot Episode," Hi. Well, uh, oh, welcome to the building.",Leonard,01,01,[],2
61,Series 01 Episode 01 – Pilot Episode," Oh, great.",Leonard,01,01,[],1
64,Series 01 Episode 01 – Pilot Episode," Great. Well, bye.",Leonard,01,01,[],2
67,Series 01 Episode 01 – Pilot Episode,Bye. ,Leonard,01,01,[],1
68,Series 01 Episode 01 – Pilot Episode,Should we have invited her for lunch?,Leonard,01,01,[],1
70,Series 01 Episode 01 – Pilot Episode,We already watched the Season Two DVDs.,Leonard,01,01,[],1
72,Series 01 Episode 01 – Pilot Episode," I think we should be good neighbours, invite her over, make her feel welcome.",Leonard,01,01,[],1
74,Series 01 Episode 01 – Pilot Episode," Well, then that was wrong of us. We need to widen our circle.",Leonard,01,01,[],2
76,Series 01 Episode 01 – Pilot Episode," Yes, and you’ve never met one of them.",Leonard,01,01,[],1
78,Series 01 Episode 01 – Pilot Episode,I’m going to invite her over. We’ll have a nice meal and chat.,Leonard,01,01,[],2
80,Series 01 Episode 01 – Pilot Episode," Well it’s not difficult, you just listen to what she says and then you say something appropriate in response.",Leonard,01,01,[],1
82,Series 01 Episode 01 – Pilot Episode,Hi. Again.,Leonard,01,01,[],2
85,Series 01 Episode 01 – Pilot Episode,Hi.,Leonard,01,01,[],1
87,Series 01 Episode 01 – Pilot Episode," Anyway, um. We brought home Indian food. And, um. I know that moving can be stressful, and I find that when I’m undergoing stress, that good food and company can have a comforting effect. Also, curry is a natural laxative, and I don’t have to tell you that, uh, a clean colon is just one less thing to worry about.",Leonard,01,01,[],5
90,Series 01 Episode 01 – Pilot Episode," Uh, yes.",Leonard,01,01,[],1
92,Series 01 Episode 01 – Pilot Episode,Great.,Leonard,01,01,[],1
96,Series 01 Episode 01 – Pilot Episode," Okay, well, make yourself at home.",Leonard,01,01,[],1
98,Series 01 Episode 01 – Pilot Episode,You’re very welcome.,Leonard,01,01,[],1
106,Series 01 Episode 01 – Pilot Episode," I have a board. If you like boards, this is my board.",Leonard,01,01,[],2
109,Series 01 Episode 01 – Pilot Episode,What?,Leonard,01,01,[],1
111,Series 01 Episode 01 – Pilot Episode,At least I didn’t have to invent twenty-six dimensions just to make the math come out.,Leonard,01,01,[],1
113,Series 01 Episode 01 – Pilot Episode,In what universe?,Leonard,01,01,[],1
